hue__tmp_padova_alternaria.id,hue__tmp_padova_alternaria.data,hue__tmp_padova_alternaria.aceraceae,hue__tmp_padova_alternaria.alternaria,hue__tmp_padova_alternaria.altripollini,hue__tmp_padova_alternaria.alnus,hue__tmp_padova_alternaria.ambrosia,hue__tmp_padova_alternaria.artemisia,hue__tmp_padova_alternaria.betulaceae,hue__tmp_padova_alternaria.betula,hue__tmp_padova_alternaria.compositae,hue__tmp_padova_alternaria.corylaceae,hue__tmp_padova_alternaria.cupressaceaetaxaceae,hue__tmp_padova_alternaria.carpinus,hue__tmp_padova_alternaria.castaneasativa,hue__tmp_padova_alternaria.fagaceae,hue__tmp_padova_alternaria.fagussylvatica,hue__tmp_padova_alternaria.gramineae,hue__tmp_padova_alternaria.oleaceae,hue__tmp_padova_alternaria.pinaceae,hue__tmp_padova_alternaria.plantaginaceae,hue__tmp_padova_alternaria.platanaceae,hue__tmp_padova_alternaria.populus,hue__tmp_padova_alternaria.quercus,hue__tmp_padova_alternaria.salicaceae,hue__tmp_padova_alternaria.salix,hue__tmp_padova_alternaria.ulmaceae,hue__tmp_padova_alternaria.urticaceae,hue__tmp_padova_alternaria.tmed,hue__tmp_padova_alternaria.tmin,hue__tmp_padova_alternaria.tmax,hue__tmp_padova_alternaria.precipitazione,hue__tmp_padova_alternaria.umin,hue__tmp_padova_alternaria.umax,hue__tmp_padova_alternaria.classalternaria
210,2014-08-31,0.0,107.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,22.4,16.1,27.1,20.8,48.0,100.0,alto
212,2014-09-02,0.0,55.0,13.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,18.8,16.0,22.4,0.4,49.0,88.0,medio
213,2014-09-03,0.0,31.0,8.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,19.4,15.2,24.8,6.0,57.0,100.0,medio
214,2014-09-04,0.0,63.0,4.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,20.9,18.9,24.4,0.2,64.0,94.0,medio
215,2014-09-05,0.0,72.0,9.0,0.0,56.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,22.0,18.7,27.0,3.8,49.0,100.0,medio
216,2014-09-06,0.0,93.0,3.0,0.0,24.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,21.5,17.3,27.2,0.0,49.0,100.0,medio
217,2014-09-07,0.0,63.0,5.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,21.6,18.8,25.5,0.0,48.0,90.0,medio
218,2014-09-08,0.0,129.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,21.8,17.3,27.9,0.0,49.0,100.0,alto
221,2014-09-11,0.0,19.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,18.7,16.2,22.7,2.4,51.0,100.0,medio
225,2014-09-15,0.0,315.0,5.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,19.5,15.6,24.4,0.0,56.0,98.0,alto
226,2014-09-16,0.0,169.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,20.0,16.2,25.2,0.0,50.0,100.0,alto
